key,label_fr,label_en,share,source,source_url,date_reference,notes
services_generaux,Services généraux,General administration,0.093609,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
securite_salubrite,Sécurité et salubrité publiques,Security & public hygiene,0.043576,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
enseignement_formation,"Enseignement, formation et apprentissage","Education, training & apprenticeship",0.086388,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
culture_sport_jeunesse,"Culture, vie sociale, sport et jeunesse","Culture, social life, sport & youth",0.029729,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
sante_action_sociale,"Santé, action sociale",Health & social action,0.601628,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
amenagement_habitat,Aménagement des territoires et habitat,Territorial planning & housing,0.026799,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
environnement,Environnement,Environment,0.014366,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
transports_routes_voiries,"Transports, routes et voiries","Transport, roads & infrastructure",0.090692,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
action_economique,Action économique,Economic action,0.013212,"DGCL/OFGL — Rapport 2025 (annexe 2F, fonctionnelle commune)",https://www.collectivites-locales.gouv.fr/etudes-et-statistiques/rapports-de-lobservatoire-des-finances-et-de-la-gestion-publique-locales-ofgl,2024-12-31,"OFGL Rapport 2025 – Annexe 2F (nomenclature commune 9 groupes M14/M52/M71). Données 2024. Total dept, fonctionnement (hors charges fi.) + investissement (hors remb.)."
